vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,total_amount,payment_type,distance_between_service,time_between_service,trip_type,imp_surcharge
1,2015-10-01 16:14:02.000000 UTC,2015-10-01 16:14:17.000000 UTC,N,1,-73.96978759765625,40.762821197509766,-73.969764709472656,40.762893676757812,1,2.9,23.0,0.0,0.5,0.0,0.0,,23.8,2,,,1,0.3
2,2015-03-02 21:27:35.000000 UTC,2015-03-02 21:37:26.000000 UTC,N,1,-74.006866455078125,40.7293815612793,-73.9835205078125,40.746910095214844,1,2.26,9.5,0.5,0.5,0.0,0.0,,10.8,2,,,1,0.3
1,2015-08-20 00:25:07.000000 UTC,2015-08-20 00:25:30.000000 UTC,N,1,-74.005813598632812,40.737201690673828,-74.005828857421875,40.737209320068359,1,0.0,2.5,0.5,0.5,0.0,0.0,,3.8,3,,,1,0.3
2,2015-02-07 19:47:46.000000 UTC,2015-02-07 19:55:55.000000 UTC,N,1,-73.9954605102539,40.760078430175781,-73.995086669921875,40.762065887451172,1,0.58,6.5,0.0,0.5,0.0,0.0,,7.3,2,,,1,0.3
2,2015-08-07 20:41:24.000000 UTC,2015-08-07 21:16:03.000000 UTC,N,1,-73.992729187011719,40.735725402832031,-73.992523193359375,40.735588073730469,1,8.79,26.0,0.5,0.5,5.46,0.0,,32.76,1,,,1,0.3
2,2015-01-24 14:00:48.000000 UTC,2015-01-24 14:18:26.000000 UTC,N,1,-73.977386474609375,40.763198852539062,-74.004798889160156,40.730239868164062,1,3.45,14.0,0.0,0.5,2.8,0.0,,17.6,1,,,1,0.3
1,2015-11-05 18:18:16.000000 UTC,2015-11-05 18:26:17.000000 UTC,N,1,-73.982177734375,40.741653442382812,-73.9830551147461,40.741298675537109,1,7.0,23.5,1.0,0.5,0.0,0.0,,25.3,2,,,1,0.3
1,2015-05-16 23:11:32.000000 UTC,2015-05-16 23:11:34.000000 UTC,N,1,-73.983634948730469,40.757148742675781,-73.983802795410156,40.757167816162109,4,6.7,41.0,0.5,0.5,0.0,0.0,,42.3,2,,,1,0.3
1,2015-10-02 10:35:59.000000 UTC,2015-10-02 10:46:18.000000 UTC,Y,1,-73.975677490234375,40.748340606689453,-73.976066589355469,40.741546630859375,1,9.6,33.5,0.0,0.5,0.0,0.0,,34.3,2,,,1,0.3
2,2015-11-21 23:47:07.000000 UTC,2015-11-21 23:49:24.000000 UTC,N,1,-74.0047607421875,40.731208801269531,-74.003456115722656,40.732990264892578,1,0.2,3.5,0.5,0.5,0.0,0.0,,4.8,2,,,1,0.3
2,2015-02-07 22:38:58.000000 UTC,2015-02-07 22:58:30.000000 UTC,N,1,-73.982658386230469,40.763118743896484,-74.004409790039062,40.730777740478516,1,2.51,13.5,0.5,0.5,3.7,0.0,,18.5,1,,,1,0.3
1,2015-08-22 06:21:51.000000 UTC,2015-08-22 06:21:56.000000 UTC,N,1,-73.992393493652344,40.7212028503418,-73.992591857910156,40.720832824707031,1,8.6,28.0,0.5,0.5,0.0,0.0,,29.3,4,,,1,0.3
1,2015-07-11 00:46:55.000000 UTC,2015-07-11 00:47:00.000000 UTC,N,1,-73.984504699707031,40.718917846679688,-73.984756469726562,40.7189826965332,1,0.0,2.5,0.5,0.5,0.0,0.0,,3.8,3,,,1,0.3
1,2015-01-07 18:43:56.000000 UTC,2015-01-07 18:44:21.000000 UTC,N,1,-73.991218566894531,40.749954223632812,-73.991218566894531,40.749912261962891,3,5.5,25.0,1.0,0.5,6.7,0.0,,33.5,1,,,1,0.3
2,2015-05-04 21:04:13.000000 UTC,2015-05-04 21:23:23.000000 UTC,N,1,-73.992347717285156,40.735198974609375,-73.993667602539062,40.735965728759766,1,4.57,17.0,0.5,0.5,0.0,0.0,,18.3,2,,,1,0.3
2,2015-04-30 10:28:34.000000 UTC,2015-04-30 10:28:46.000000 UTC,N,1,-73.971839904785156,40.7461051940918,-73.972579956054688,40.747470855712891,1,0.04,2.5,0.0,0.5,0.0,0.0,,3.3,2,,,1,0.3
2,2015-02-11 19:33:43.000000 UTC,2015-02-11 19:42:12.000000 UTC,N,1,-73.987274169921875,40.744331359863281,-73.97869873046875,40.759235382080078,1,1.29,7.5,1.0,0.5,0.0,0.0,,9.3,2,,,1,0.3
2,2015-02-24 16:59:01.000000 UTC,2015-02-24 16:59:46.000000 UTC,N,1,-73.993606567382812,40.732841491699219,-73.993461608886719,40.732772827148438,1,0.0,2.5,1.0,0.5,0.0,0.0,,4.3,2,,,1,0.3
